[11-Dec-2016 22:59:14 UTC] PHP   6. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure}() /home/ubuntu/workspace/project/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:103
[11-Dec-2016 22:59:14 UTC] PHP   7. call_user_func:{/home/ubuntu/workspace/project/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32}() /home/ubuntu/workspace/project/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32
[11-Dec-2016 22:59:14 UTC] PHP   8. Illuminate\Pipeline\Pipeline->Illuminate\Pipeline\{closure}() /home/ubuntu/workspace/project/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:32
[11-Dec-2016 22:59:14 UTC] PHP   9. call_user_func_array:{/home/ubuntu/workspace/project/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136}() /home/ubuntu/workspace/project/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136
[11-Dec-2016 22:59:14 UTC] PHP  10. Illuminate\Foundation\Http\Middleware\CheckForMaintenanceMode->handle() /home/ubuntu/workspace/project/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:136
[11-Dec-2016 22:59:14 UTC] PHP  11. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure}() /home/ubuntu/workspace/project/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/CheckForMaintenanceMode.php:44
[11-Dec-2016 22:59:14 UTC] PHP  12. call_user_func:{/home/ubuntu/workspace/project/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:52}() /home/ubuntu/workspace/project/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:52
[11-Dec-2016 22:59:14 UTC] PHP  13. Illuminate\Foundation\Http\Kernel->Illuminate\Foundation\Http\{closure}() /home/ubuntu/workspace/project/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:52
[11-Dec-2016 22:59:14 UTC] PHP  14. Illuminate\Routing\Router->dispatch() /home/ubuntu/workspace/project/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:246
[11-Dec-2016 22:59:14 UTC] PHP  15. Illuminate\Routing\Router->dispatchToRoute() /home/ubuntu/workspace/project/vendor/laravel/framework/src/Illuminate/Routing/Router.php:675
[11-Dec-2016 22:59:14 UTC] PHP  16. Illuminate\Routing\Router->findRoute() /home/ubuntu/workspace/project/vendor/laravel/framework/src/Illuminate/Routing/Router.php:691
[11-Dec-2016 22:59:14 UTC] PHP  17. Illuminate\Routing\Router->substituteBindings() /home/ubuntu/workspace/project/vendor/laravel/framework/src/Illuminate/Routing/Router.php:825
[11-Dec-2016 22:59:14 UTC] PHP  18. Illuminate\Routing\Router->substituteImplicitBindings() /home/ubuntu/workspace/project/vendor/laravel/framework/src/Illuminate/Routing/Router.php:842
